STATION,STATION_NAME,DATE,DLY-PRCP-NORMAL,MTD-PRCP-NORMAL,YTD-PRCP-NORMAL,DLY-PRCP-PCTALL-GE001HI,DLY-PRCP-PCTALL-GE010HI,DLY-PRCP-PCTALL-GE050HI,DLY-PRCP-PCTALL-GE100HI,DLY-TAVG-NORMAL,DLY-DUTR-NORMAL,DLY-TMAX-NORMAL,DLY-TMIN-NORMAL,DLY-TAVG-STDDEV,DLY-DUTR-STDDEV,DLY-TMAX-STDDEV,DLY-TMIN-STDDEV
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100212,0.13,1.62,5.12,232,173,88,40,53.5,20.2,63.6,43.4,4.3,8,6,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100213,0.13,1.75,5.25,233,174,88,40,53.6,20,63.6,43.5,4.3,8,6,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100214,0.14,1.89,5.39,234,174,88,40,53.6,19.9,63.6,43.7,4.2,8,6,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100215,0.14,2.03,5.53,235,174,88,40,53.7,19.8,63.6,43.8,4.2,8,5.9,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100216,0.15,2.18,5.68,236,175,87,40,53.8,19.7,63.6,43.9,4.2,8,5.9,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100217,0.15,2.33,5.83,236,175,87,40,53.9,19.6,63.7,44.1,4.2,8,5.9,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100218,0.15,2.48,5.98,237,175,87,40,53.9,19.5,63.7,44.2,4.2,8,5.9,5.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100219,0.17,2.65,6.15,237,175,87,39,54,19.4,63.7,44.3,4.2,8,5.9,5.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100220,0.16,2.81,6.31,236,175,86,39,54.1,19.3,63.7,44.4,4.2,7.9,5.9,5.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100221,0.16,2.97,6.47,236,174,86,39,54.2,19.2,63.8,44.6,4.2,7.9,5.9,5.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100222,0.15,3.12,6.62,235,174,85,39,54.2,19.1,63.8,44.7,4.2,7.9,5.9,5.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100223,0.15,3.27,6.77,235,174,85,39,54.3,19.1,63.9,44.8,4.1,7.9,5.9,5.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100224,0.14,3.41,6.91,235,174,85,38,54.4,19,63.9,44.9,4.1,7.8,5.9,5.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100225,0.15,3.56,7.06,234,173,84,38,54.5,19,64,45,4.1,7.8,5.9,5.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100226,0.14,3.7,7.2,234,173,84,38,54.5,18.9,64,45.1,4.1,7.8,5.9,5.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100227,0.13,3.83,7.33,234,173,84,38,54.6,18.9,64.1,45.2,4.1,7.8,5.9,5.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100228,0.13,3.96,7.46,233,173,83,38,54.7,18.9,64.1,45.2,4.1,7.7,5.9,5.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100301,0.12,0.12,7.58,232,171,82,37,54.8,18.9,64.2,45.3,4.1,7.7,5.9,5.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100302,0.12,0.24,7.7,230,170,81,36,54.8,18.9,64.2,45.4,4.1,7.7,5.9,5.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100303,0.13,0.37,7.83,227,168,80,35,54.9,18.9,64.3,45.4,4.1,7.7,5.9,5.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100304,0.12,0.49,7.95,225,166,78,34,54.9,18.9,64.4,45.5,4.1,7.7,5.9,5.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100305,0.13,0.62,8.08,222,163,76,33,55,18.9,64.4,45.6,4.1,7.6,5.9,5.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100306,0.12,0.74,8.2,218,160,75,32,55.1,18.9,64.5,45.6,4.1,7.6,6,5.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100307,0.12,0.86,8.32,215,158,73,31,55.1,18.9,64.6,45.6,4.1,7.6,6,5.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100308,0.12,0.98,8.44,211,155,71,30,55.2,19,64.6,45.7,4.1,7.6,6,5.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100309,0.12,1.1,8.56,208,153,70,29,55.2,19,64.7,45.7,4.1,7.6,6,5.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100310,0.13,1.23,8.69,206,151,68,28,55.3,19,64.8,45.7,4.1,7.6,6,5.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100311,0.13,1.36,8.82,204,149,67,27,55.3,19.1,64.9,45.8,4.1,7.5,6,5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100312,0.12,1.48,8.94,201,147,66,26,55.4,19.1,64.9,45.8,4.1,7.5,6.1,5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100313,0.12,1.6,9.06,199,145,64,25,55.4,19.2,65,45.8,4.1,7.5,6.1,5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100314,0.11,1.71,9.17,196,143,63,25,55.4,19.3,65.1,45.8,4.1,7.5,6.1,4.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100315,0.11,1.82,9.28,194,141,62,24,55.5,19.3,65.1,45.8,4.2,7.5,6.2,4.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100316,0.11,1.93,9.39,191,139,61,23,55.5,19.4,65.2,45.8,4.2,7.5,6.2,4.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100317,0.1,2.03,9.49,188,137,59,22,55.6,19.4,65.3,45.8,4.2,7.5,6.3,4.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100318,0.1,2.13,9.59,185,134,58,21,55.6,19.5,65.3,45.9,4.2,7.5,6.4,4.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100319,0.09,2.22,9.68,182,132,57,20,55.6,19.6,65.4,45.9,4.3,7.5,6.4,4.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100320,0.09,2.31,9.77,179,130,55,19,55.7,19.6,65.5,45.9,4.3,7.5,6.5,4.8
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100321,0.09,2.4,9.86,176,127,54,18,55.7,19.7,65.6,45.9,4.3,7.5,6.5,4.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100322,0.09,2.49,9.95,173,125,52,18,55.8,19.7,65.6,45.9,4.3,7.5,6.6,4.7
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100323,0.08,2.57,10.03,170,122,51,17,55.8,19.8,65.7,45.9,4.3,7.5,6.6,4.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100324,0.09,2.66,10.12,167,120,49,16,55.8,19.8,65.8,45.9,4.3,7.5,6.7,4.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100325,0.08,2.74,10.2,163,117,48,15,55.9,19.9,65.8,45.9,4.3,7.5,6.7,4.6
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100326,0.07,2.81,10.27,160,114,46,14,55.9,19.9,65.9,46,4.3,7.5,6.7,4.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100327,0.08,2.89,10.35,156,111,44,13,56,20,66,46,4.3,7.5,6.7,4.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100328,0.08,2.97,10.43,152,107,42,13,56,20,66,46,4.3,7.5,6.7,4.5
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100329,0.07,3.04,10.5,148,104,41,12,56.1,20,66.1,46.1,4.3,7.5,6.7,4.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100330,0.07,3.11,10.57,144,101,39,11,56.1,20,66.2,46.1,4.3,7.5,6.7,4.4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100331,0.07,3.18,10.64,141,98,38,11,56.2,20.1,66.2,46.2,4.3,7.5,6.7,4.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100401,0.06,0.06,10.7,138,95,37,10,56.3,20.1,66.3,46.2,4.2,7.5,6.7,4.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100402,0.05,0.11,10.75,135,92,36,10,56.3,20.1,66.4,46.3,4.2,7.5,6.7,4.3
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100403,0.05,0.16,10.8,132,90,35,10,56.4,20.1,66.4,46.3,4.2,7.4,6.7,4.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100404,0.04,0.2,10.84,129,88,34,9,56.5,20.1,66.5,46.4,4.2,7.4,6.7,4.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100405,0.05,0.25,10.89,126,86,33,9,56.5,20.1,66.6,46.5,4.2,7.4,6.7,4.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100406,0.05,0.3,10.94,123,84,32,8,56.6,20,66.6,46.6,4.2,7.4,6.7,4.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100407,0.04,0.34,10.98,121,82,31,8,56.7,20,66.7,46.7,4.2,7.4,6.7,4.2
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100408,0.05,0.39,11.03,118,80,30,8,56.8,20,66.8,46.8,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100409,0.03,0.42,11.06,115,77,29,7,56.9,19.9,66.8,46.9,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100410,0.04,0.46,11.1,112,75,29,7,56.9,19.9,66.9,47,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100411,0.03,0.49,11.13,110,73,28,7,57,19.9,67,47.1,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100412,0.03,0.52,11.16,107,71,27,6,57.1,19.8,67,47.2,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100413,0.03,0.55,11.19,105,69,27,6,57.2,19.8,67.1,47.4,4.2,7.4,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100414,0.03,0.58,11.22,102,67,26,6,57.3,19.7,67.2,47.5,4.1,7.3,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100415,0.03,0.61,11.25,100,65,25,5,57.4,19.6,67.3,47.6,4.1,7.3,6.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100416,0.03,0.64,11.28,98,63,25,5,57.5,19.6,67.3,47.8,4.1,7.3,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100417,0.03,0.67,11.31,96,61,24,5,57.7,19.5,67.4,47.9,4.1,7.3,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100418,0.03,0.7,11.34,94,59,23,5,57.8,19.4,67.5,48,4.1,7.3,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100419,0.03,0.73,11.37,92,57,23,5,57.9,19.4,67.6,48.2,4.1,7.3,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100420,0.03,0.76,11.4,90,56,22,4,58,19.3,67.6,48.3,4.1,7.2,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100421,0.03,0.79,11.43,88,54,21,4,58.1,19.2,67.7,48.5,4.1,7.2,6.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100422,0.02,0.81,11.45,85,52,20,4,58.2,19.1,67.8,48.6,4.1,7.2,6.5,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100423,0.03,0.84,11.48,83,50,20,4,58.3,19.1,67.8,48.8,4.1,7.1,6.5,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100424,0.03,0.87,11.51,81,49,19,3,58.4,19,67.9,48.9,4.1,7.1,6.5,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100425,0.02,0.89,11.53,79,47,19,3,58.5,18.9,68,49.1,4.1,7.1,6.5,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100426,0.03,0.92,11.56,77,46,18,3,58.6,18.8,68.1,49.2,4.1,7,6.5,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100427,0.02,0.94,11.58,76,44,18,3,58.7,18.8,68.1,49.3,4.1,7,6.4,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100428,0.02,0.96,11.6,74,43,17,3,58.8,18.7,68.2,49.5,4.1,7,6.4,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100429,0.02,0.98,11.62,72,42,17,3,58.9,18.6,68.2,49.6,4.1,6.9,6.4,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100430,0.02,1,11.64,71,40,16,2,59,18.6,68.3,49.8,4.1,6.9,6.4,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100501,0.02,0.02,11.66,69,39,16,-9999,59.1,18.5,68.4,49.9,4.1,6.8,6.3,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100502,0.03,0.05,11.69,67,37,15,-9999,59.2,18.4,68.4,50,4.1,6.8,6.3,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100503,0.02,0.07,11.71,65,35,15,-9999,59.3,18.4,68.5,50.1,4.1,6.8,6.2,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100504,0.02,0.09,11.73,64,34,14,-9999,59.4,18.3,68.5,50.2,4.1,6.7,6.2,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100505,0.01,0.1,11.74,62,32,14,-9999,59.5,18.2,68.6,50.4,4,6.7,6.2,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100506,0.01,0.11,11.75,61,31,13,-9999,59.6,18.2,68.6,50.5,4,6.7,6.1,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100507,0.02,0.13,11.77,59,29,12,-9999,59.6,18.1,68.7,50.6,4,6.6,6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100508,0.01,0.14,11.78,58,28,12,-9999,59.7,18.1,68.7,50.7,3.9,6.6,6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100509,0.02,0.16,11.8,56,27,11,-9999,59.8,18,68.8,50.8,3.9,6.5,5.9,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100510,0.01,0.17,11.81,55,25,11,-9999,59.8,18,68.8,50.8,3.9,6.5,5.8,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100511,0.01,0.18,11.82,53,24,10,-9999,59.9,17.9,68.9,50.9,3.8,6.4,5.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100512,0.02,0.2,11.84,52,23,10,-9999,60,17.9,68.9,51,3.8,6.4,5.7,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100513,0.01,0.21,11.85,50,22,9,-9999,60,17.9,68.9,51.1,3.7,6.4,5.6,4.1
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100514,0.01,0.22,11.86,49,21,9,0,60.1,17.8,69,51.2,3.7,6.3,5.5,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100515,0.01,0.23,11.87,48,20,8,0,60.1,17.8,69,51.2,3.6,6.3,5.5,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100516,0.01,0.24,11.88,46,19,8,0,60.2,17.7,69,51.3,3.6,6.2,5.4,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100517,0.01,0.25,11.89,45,18,7,0,60.2,17.7,69.1,51.4,3.5,6.2,5.3,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100518,0,0.25,11.89,44,17,7,0,60.3,17.7,69.1,51.4,3.5,6.2,5.2,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100519,0.01,0.26,11.9,42,16,7,0,60.3,17.7,69.1,51.5,3.4,6.2,5.2,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100520,0.01,0.27,11.91,41,15,7,0,60.3,17.6,69.2,51.5,3.4,6.2,5.1,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100521,0,0.27,11.91,40,15,6,0,60.4,17.6,69.2,51.6,3.3,6.1,5.1,4
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100522,0.01,0.28,11.92,39,14,6,0,60.4,17.6,69.2,51.6,3.3,6.1,5,3.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100523,0.01,0.29,11.93,38,13,6,0,60.5,17.5,69.2,51.7,3.3,6.1,5,3.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100524,0.01,0.3,11.94,37,13,6,0,60.5,17.5,69.3,51.8,3.2,6.1,4.9,3.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100525,0,0.3,11.94,36,12,5,0,60.6,17.5,69.3,51.8,3.2,6.1,4.9,3.9
GHCND:USW00023190,SANTA BARBARA MUNICIPAL AIRPORT CA US,20100526,0.01,0.31,11.95,35,11,5,0,60.6,17.5,69.3,51.9,3.2,6.1,4.9,3.9
